Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
36316835,The Volunteer: One Man’s Mission to Lead an Underground Army in Auschwitz and Expose the Greatest Nazi Crimes,Jack Fairweather,"Fairweather, Jack",,753545160,9.78075E+12,0,4.51,WH Allen,Hardcover,400,2019,,,7/22/2019,to-read,to-read (#1813),to-read,,,,0,,,0,,,,,
174834,The Cost of Discipleship,Dietrich Bonhoeffer,"Bonhoeffer, Dietrich",,684815001,9.78068E+12,0,4.29,Touchstone,Paperback,320,1995,1937,,7/20/2019,to-read,to-read (#1812),to-read,,,,0,,,0,,,,,
5694397,Things That Make Us Smart: Defending Human Attributes In The Age Of The Machine,Ian Keen,"Keen, Ian",,195507665,9.7802E+12,0,3.5,"Oxford University Press, USA",Paperback,448,2004,2004,,7/18/2019,to-read,to-read (#1811),to-read,,,,0,,,0,,,,,
16868,Made by Humans: The AI Condition,Donald A. Norman,"Norman, Donald A.",Tamara Dunaeff,201626950,9.7802E+12,0,3.84,Basic Books,Paperback,304,1994,1993,,7/18/2019,to-read,to-read (#1810),to-read,,,,0,,,0,,,,,
40626257,Children of Time (Children of Time #1),Ellen Broad,"Broad, Ellen",,522873316,9.78052E+12,0,4.07,Melbourne University Press,Paperback,277,2018,,,7/17/2019,to-read,to-read (#1809),to-read,,,,0,,,0,,,,,
25499718,How Fiction Works,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,1447273281,9.78145E+12,3,4.29,PanMacmillan,Hardcover,600,2015,2015,,5/24/2019,,,read,"In the near future: mankind is not content with being alone in space, so a faction of humans decides to bioengineer intelligent life on other planets. It's like that Seinfeld bit on how dads always seem so powerful, because they have discovered that they can tell everyone to screw themselves, they can always leave and make their own people.<br/><br/>Other factions of mankind don't like the bioengineering, it comes to civil war, and mankind somehow destroys itself. A last generation ship with frozen people leaves earth for the bioengineered planets in hope of a new start.<br/><br/>The story is told from two points of view: one is the society of the bioengineered spiders and how they slowly ascend towards high tech over thousands of years, another is told from a 'classicist's POV  who keeps on getting thawed every few hundred years on their way towards the spiders. Lots of war, lots of politics, lots of infighting in both strands of the story, but also cool concepts (<spoiler>later on there's an AI stored in a distributed manner on millions of ants, similar to the soldiers-as-a-computer thing in Liu Cixin's Three-Body Problem</spoiler>).<br/> <br/>A lot of details are a bit too black-and-white for me (<spoiler>the spiders being a matriarchal society which is identically sexist to our patriarchal one, including 'girls will be girls' etc. - the weird handwavy way mankind destroyed itself, you'd think you can't write one virus that takes down a network of space stations and planets - religion as a ossifying force</spoiler>), but I guess you can look past that. The other problem is the info-dumpyness, at least half of this book tries to explain spider society to you. SF writers often employ the trick of having an outsider come in who has to learn about the new society as much as the reader (most famous example: Brave New World), but Tchaikovsky ignores that trick and goes straight for the 'non-fiction' blocks.<br/><br/>It's epic-time-scale SF similar to Tau Zero or Asimov's Foundation books, but more focused on telling an entertaining story than those two.",,,1,,,0,,,,,
1355465,Grokking Deep Learning,James  Wood,"Wood, James",,374173400,9.78037E+12,0,3.97,"Farrar, Straus and Giroux",Paperback,265,2008,2008,,7/17/2019,to-read,to-read (#1808),to-read,,,,0,,,0,,,,,
27311742,A Fractured Profession,Stephen M. Stigler,"Stigler, Stephen M.",,674088913,9.78067E+12,4,3.68,Harvard University Press,Paperback,240,2016,2016,,5/16/2019,"history-of-maths, non-fiction","history-of-maths (#1), non-fiction (#170)",read,,,,1,,,0,,,,,
31565758,George Marshall: Defender of the Republic,Andrew W. Trask,"Trask, Andrew W.",,,,0,4.43,Manning Publications,ebook,325,2017,,,7/16/2019,to-read,to-read (#1807),to-read,,,,0,,,0,,,,,
36462878,"Clean, Clad And Courteous: A History Of Aboriginal Education In New South Wales",David R. Johnson,"Johnson, David R.",,,,0,0,Johns Hopkins University Press,Kindle Edition,192,2017,,,7/8/2019,to-read,to-read (#1806),to-read,,,,0,,,0,,,,,
